source,target,relationshipType,properties
142,144,RELATED,"{order: 42, description: has a funding relationship with, metadata: {\""summary\"": \""The individual was part of the Research Advisory Board at the National Center on Sleep Disorders Research and received a five-year academic award from the National Heart, Lung, and Blood Institute.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
145,133,RELATED,"{order: 43, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
142,145,RELATED,"{order: 43, description: participates_in, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
142,146,RELATED,"{order: 43, description: participates_in, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
146,133,RELATED,"{order: 43, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
147,18,RELATED,"{order: 44, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
133,133,RELATED,"{order: 44, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
148,22,RELATED,"{order: 44, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
2,149,RELATED,"{order: 45, description: The American Academy of Sleep Medicine is the organization that gives the Nathaniel Kleitman Award., metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
142,149,RELATED,"{order: 45, description: He received the Nathaniel Kleitman Award in 2009., metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
150,151,RELATED,"{order: 46, description: has role, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
150,152,RELATED,"{order: 46, description: has role, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
13,150,RELATED,"{order: 46, description: is a version of, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
151,153,RELATED,"{order: 46, description: works on, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
154,153,RELATED,"{order: 46, description: has role, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
155,142,RELATED,"{order: 47, description: is authored by, metadata: {\""summary\"": \""The individual is a prolific author of scientific articles in sleep medicine, with a primary focus on insomnia and professional education within the field of sleep medicine.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
156,155,RELATED,"{order: 47, description: is focused on, metadata: {\""summary\"": \""The individual is a prolific author of scientific articles in sleep medicine, with a primary focus on insomnia and professional education within the field of sleep medicine.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
157,155,RELATED,"{order: 47, description: is focused on, metadata: {\""summary\"": \""The individual is a prolific author of scientific articles in sleep medicine, with a primary focus on insomnia and professional education within the field of sleep medicine.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
158,159,RELATED,"{order: 48, description: contributed_to, metadata: {\""summary\"": \""This manual was a collaborative effort, with contributions from multiple people.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
160,161,RELATED,"{order: 49, description: relates_to, metadata: {\""summary\"": \""The Task Force on ICSD-3, along with the members of their individual work groups, dedicated countless hours and showed tireless dedication to their work.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
162,161,RELATED,"{order: 49, description: relates_to, metadata: {\""summary\"": \""The Task Force on ICSD-3, along with the members of their individual work groups, dedicated countless hours and showed tireless dedication to their work.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
163,161,RELATED,"{order: 49, description: relates_to, metadata: {\""summary\"": \""The Task Force on ICSD-3, along with the members of their individual work groups, dedicated countless hours and showed tireless dedication to their work.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
164,165,RELATED,"{order: 50, description: The reviewers provided recommendations which improved the text., metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
165,166,RELATED,"{order: 50, description: The recommendations were meant to improve the quality of the text., metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
2,167,RELATED,"{order: 52, description: The text implies that the 'staff members' are associated with the 'American Academy of Sleep Medicine'., metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
168,169,RELATED,"{order: 53, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
170,171,RELATED,"{order: 53, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
172,171,RELATED,"{order: 53, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
172,169,RELATED,"{order: 53, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
173,174,RELATED,"{order: 54, description: Without her contribution, the concept of publication was made possible., metadata: {\""summary\"": \""The publication was made possible thanks to the individual mentioned.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
169,175,RELATED,"{order: 56, description: The text mentions that Nancy Collop is the President of the AASM, implying a concept-concept relationship where Nancy Collop holds a leadership position in the AASM., metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
176,169,RELATED,"{order: 56, description: The text mentions that Nancy Collop is the President of the AASM, indicating a relationship where Nancy Collop is associated with the AASM., metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
177,178,RELATED,"{order: 57, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
179,177,RELATED,"{order: 57, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
179,178,RELATED,"{order: 57, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
180,181,RELATED,"{order: 58, description: A DO is a type of Medical Doctor., metadata: {\""summary\"": \""The text appears to be a list of professionals in the medical field, specifically doctors and a PhD in nursing, who have expertise in sleep medicine. Their names are Amy Aronsky, M. Safwan Badr, Kelly Carden, Ronald Chervin, Nancy Collop, Samuel Fleishman, Timothy Morgenthaler, Susan Redline, Ilene Rosen, Steven Shea, Patrick Strollo Jr., Nathaniel Watson, Terri Weaver, and Merrill Wise.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
182,181,RELATED,"{order: 58, description: An MD is a type of Medical Doctor., metadata: {\""summary\"": \""The text appears to be a list of professionals in the medical field, specifically doctors and a PhD in nursing, who have expertise in sleep medicine. Their names are Amy Aronsky, M. Safwan Badr, Kelly Carden, Ronald Chervin, Nancy Collop, Samuel Fleishman, Timothy Morgenthaler, Susan Redline, Ilene Rosen, Steven Shea, Patrick Strollo Jr., Nathaniel Watson, Terri Weaver, and Merrill Wise.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
183,184,RELATED,"{order: 58, description: An MS is a degree or certification., metadata: {\""summary\"": \""The text appears to be a list of professionals in the medical field, specifically doctors and a PhD in nursing, who have expertise in sleep medicine. Their names are Amy Aronsky, M. Safwan Badr, Kelly Carden, Ronald Chervin, Nancy Collop, Samuel Fleishman, Timothy Morgenthaler, Susan Redline, Ilene Rosen, Steven Shea, Patrick Strollo Jr., Nathaniel Watson, Terri Weaver, and Merrill Wise.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
185,184,RELATED,"{order: 58, description: A PhD is a degree or certification., metadata: {\""summary\"": \""The text appears to be a list of professionals in the medical field, specifically doctors and a PhD in nursing, who have expertise in sleep medicine. Their names are Amy Aronsky, M. Safwan Badr, Kelly Carden, Ronald Chervin, Nancy Collop, Samuel Fleishman, Timothy Morgenthaler, Susan Redline, Ilene Rosen, Steven Shea, Patrick Strollo Jr., Nathaniel Watson, Terri Weaver, and Merrill Wise.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
186,187,RELATED,"{order: 58, description: An RN is a nursing degree or certification., metadata: {\""summary\"": \""The text appears to be a list of professionals in the medical field, specifically doctors and a PhD in nursing, who have expertise in sleep medicine. Their names are Amy Aronsky, M. Safwan Badr, Kelly Carden, Ronald Chervin, Nancy Collop, Samuel Fleishman, Timothy Morgenthaler, Susan Redline, Ilene Rosen, Steven Shea, Patrick Strollo Jr., Nathaniel Watson, Terri Weaver, and Merrill Wise.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
188,189,RELATED,"{order: 59, description: The international review effort was coordinated by the World Sleep Federation., metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
175,188,RELATED,"{order: 60, description: The President is a concept representing a leading role in an organization, in this case, the World Sleep Federation., metadata: {\""summary\"": \""The text provided is a table showing the results of the World Sleep Society's (WSS) board of directors election. Clete Kushida, MD, PhD, President of the WSS, assisted in the election process. The table lists the candidates, their country of origin, and the number of votes they received. The candidates with the most votes were elected to the board.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
190,191,RELATED,"{order: 60, description: Clete Kushida, MD, PhD is a concept representing a specific individual with medical and doctoral degrees., metadata: {\""summary\"": \""The text provided is a table showing the results of the World Sleep Society's (WSS) board of directors election. Clete Kushida, MD, PhD, President of the WSS, assisted in the election process. The table lists the candidates, their country of origin, and the number of votes they received. The candidates with the most votes were elected to the board.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
190,192,RELATED,"{order: 60, description: Clete Kushida, MD, PhD holds a conceptual role as the President of the World Sleep Federation., metadata: {\""summary\"": \""The text provided is a table showing the results of the World Sleep Society's (WSS) board of directors election. Clete Kushida, MD, PhD, President of the WSS, assisted in the election process. The table lists the candidates, their country of origin, and the number of votes they received. The candidates with the most votes were elected to the board.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
193,194,RELATED,"{order: 60, description: Assistance is a conceptual action performed by Clete Kushida, MD, PhD for the facet mentioned in the text., metadata: {\""summary\"": \""The text provided is a table showing the results of the World Sleep Society's (WSS) board of directors election. Clete Kushida, MD, PhD, President of the WSS, assisted in the election process. The table lists the candidates, their country of origin, and the number of votes they received. The candidates with the most votes were elected to the board.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
195,196,RELATED,"{order: 61, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
197,196,RELATED,"{order: 61, description: is_member_of, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
197,198,RELATED,"{order: 61, description: contributes_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
199,200,RELATED,"{order: 62, description: provided expertise on, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
199,201,RELATED,"{order: 62, description: provided expertise on, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
202,203,RELATED,"{order: 62, description: assisted with the development of, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
204,205,RELATED,"{order: 63, description: implied relationship, as long hours are likely required for manual creation, metadata: {\""summary\"": \""The text expresses gratitude to colleagues and families for their patience, support, and understanding during the long hours needed to complete the manual.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
206,207,RELATED,"{order: 63, description: has_symptom, as patience can be considered a symptom of the colleagues' attitude, metadata: {\""summary\"": \""The text expresses gratitude to colleagues and families for their patience, support, and understanding during the long hours needed to complete the manual.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
208,209,RELATED,"{order: 63, description: has_symptom, as support can be considered a symptom of the families' attitude, metadata: {\""summary\"": \""The text expresses gratitude to colleagues and families for their patience, support, and understanding during the long hours needed to complete the manual.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
210,209,RELATED,"{order: 63, description: has_symptom, as understanding can be considered a symptom of the families' attitude, metadata: {\""summary\"": \""The text expresses gratitude to colleagues and families for their patience, support, and understanding during the long hours needed to complete the manual.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
211,212,RELATED,"{order: 64, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
211,213,RELATED,"{order: 64, description: has_symptom or is_risk_factor_for or requires_test or treated_by or results_in, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
211,214,RELATED,"{order: 64, description: has_symptom or is_risk_factor_for or requires_test or treated_by or results_in, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
211,215,RELATED,"{order: 64, description: has_symptom or is_risk_factor_for or requires_test or treated_by or results_in, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
211,216,RELATED,"{order: 64, description: has_symptom or is_risk_factor_for or requires_test or treated_by or results_in, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
211,217,RELATED,"{order: 64, description: has_symptom or is_risk_factor_for or requires_test or treated_by or results_in, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
211,218,RELATED,"{order: 64, description: has_symptom or is_risk_factor_for or requires_test or treated_by or results_in, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
211,219,RELATED,"{order: 64, description: has_symptom or is_risk_factor_for or requires_test or treated_by or results_in, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
211,220,RELATED,"{order: 64, description: has_symptom or is_risk_factor_for or requires_test or treated_by or results_in, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
211,221,RELATED,"{order: 64, description: has_symptom or is_risk_factor_for or requires_test or treated_by or results_in, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
211,222,RELATED,"{order: 64, description: has_symptom or is_risk_factor_for or requires_test or treated_by or results_in, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
223,217,RELATED,"{order: 64, description: has_symptom or is_risk_factor_for or requires_test or treated_by or results_in, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
223,224,RELATED,"{order: 64, description: has_symptom or is_risk_factor_for or requires_test or treated_by or results_in, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
223,225,RELATED,"{order: 64, description: has_symptom or is_risk_factor_for or requires_test or treated_by or results_in, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
223,226,RELATED,"{order: 64, description: has_symptom or is_risk_factor_for or requires_test or treated_by or results_in, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
223,227,RELATED,"{order: 64, description: has_symptom or is_risk_factor_for or requires_test or treated_by or results_in, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
228,222,RELATED,"{order: 64, description: has_symptom or is_risk_factor_for or requires_test or treated_by or results_in, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
228,229,RELATED,"{order: 64, description: has_symptom or is_risk_factor_for or requires_test or treated_by or results_in, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
228,230,RELATED,"{order: 64, description: has_symptom or is_risk_factor_for or requires_test or treated_by or results_in, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
228,231,RELATED,"{order: 64, description: has_symptom or is_risk_factor_for or requires_test or treated_by or results_in, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
228,232,RELATED,"{order: 64, description: has_symptom or is_risk_factor_for or requires_test or treated_by or results_in, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
228,233,RELATED,"{order: 64, description: has_symptom or is_risk_factor_for or requires_test or treated_by or results_in, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
234,214,RELATED,"{order: 64, description: has_symptom or is_risk_factor_for or requires_test or treated_by or results_in, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
234,235,RELATED,"{order: 64, description: has_symptom or is_risk_factor_for or requires_test or treated_by or results_in, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
234,236,RELATED,"{order: 64, description: has_symptom or is_risk_factor_for or requires_test or treated_by or results_in, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
234,237,RELATED,"{order: 64, description: has_symptom or is_risk_factor_for or requires_test or treated_by or results_in, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
238,215,RELATED,"{order: 64, description: has_symptom or is_risk_factor_for or requires_test or treated_by or results_in, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
238,239,RELATED,"{order: 64, description: has_symptom or is_risk_factor_for or requires_test or treated_by or results_in, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
238,219,RELATED,"{order: 64, description: has_symptom or is_risk_factor_for or requires_test or treated_by or results_in, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
238,240,RELATED,"{order: 64, description: has_symptom or is_risk_factor_for or requires_test or treated_by or results_in, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
241,220,RELATED,"{order: 64, description: has_symptom or is_risk_factor_for or requires_test or treated_by or results_in, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
241,242,RELATED,"{order: 64, description: has_symptom or is_risk_factor_for or requires_test or treated_by or results_in, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
241,243,RELATED,"{order: 64, description: has_symptom or is_risk_factor_for or requires_test or treated_by or results_in, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
241,244,RELATED,"{order: 64, description: has_symptom or is_risk_factor_for or requires_test or treated_by or results_in, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
245,221,RELATED,"{order: 64, description: has_symptom or is_risk_factor_for or requires_test or treated_by or results_in, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
245,246,RELATED,"{order: 64, description: has_symptom or is_risk_factor_for or requires_test or treated_by or results_in, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
245,247,RELATED,"{order: 64, description: has_symptom or is_risk_factor_for or requires_test or treated_by or results_in, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
245,248,RELATED,"{order: 64, description: has_symptom or is_risk_factor_for or requires_test or treated_by or results_in, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
245,249,RELATED,"{order: 64, description: has_symptom or is_risk_factor_for or requires_test or treated_by or results_in, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
245,250,RELATED,"{order: 64, description: has_symptom or is_risk_factor_for or requires_test or treated_by or results_in, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
245,251,RELATED,"{order: 64, description: has_symptom or is_risk_factor_for or requires_test or treated_by or results_in, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
13,252,RELATED,"{order: 65, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
13,253,RELATED,"{order: 65, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
13,254,RELATED,"{order: 65, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
255,256,RELATED,"{order: 66, description: Classification systems are related to various factors such as pathogenesis, prognosis, course, and heritability., metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
255,253,RELATED,"{order: 66, description: Classification systems provide important information to clinicians., metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
255,257,RELATED,"{order: 66, description: Classification systems provide information., metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
255,258,RELATED,"{order: 66, description: Classification systems are related to pathogenesis., metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
255,259,RELATED,"{order: 66, description: Classification systems are related to prognosis., metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
255,260,RELATED,"{order: 66, description: Classification systems are related to the course of conditions., metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
255,261,RELATED,"{order: 66, description: Classification systems are related to heritability., metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
262,263,RELATED,"{order: 67, description: are largely guided by, metadata: {\""summary\"": \""The selection of therapeutic interventions is mainly determined by the diagnostic choices made by clinicians.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
264,252,RELATED,"{order: 68, description: relates_to, metadata: {\""summary\"": \""The information gathered on the therapeutic response of certain diseases contributes to improving the classification (nosology) of those diseases. In other words, understanding how diseases respond to treatment helps in better defining and categorizing them.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
252,265,RELATED,"{order: 68, description: results_in, metadata: {\""summary\"": \""The information gathered on the therapeutic response of certain diseases contributes to improving the classification (nosology) of those diseases. In other words, understanding how diseases respond to treatment helps in better defining and categorizing them.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
257,264,RELATED,"{order: 68, description: relates_to, metadata: {\""summary\"": \""The information gathered on the therapeutic response of certain diseases contributes to improving the classification (nosology) of those diseases. In other words, understanding how diseases respond to treatment helps in better defining and categorizing them.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
257,252,RELATED,"{order: 68, description: relates_to, metadata: {\""summary\"": \""The information gathered on the therapeutic response of certain diseases contributes to improving the classification (nosology) of those diseases. In other words, understanding how diseases respond to treatment helps in better defining and categorizing them.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
257,265,RELATED,"{order: 68, description: utilized_to_refine, metadata: {\""summary\"": \""The information gathered on the therapeutic response of certain diseases contributes to improving the classification (nosology) of those diseases. In other words, understanding how diseases respond to treatment helps in better defining and categorizing them.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
266,267,RELATED,"{order: 69, description: relates_to, metadata: {\""summary\"": \""The text discusses the role of classification systems in defining the scope of a specific discipline, with sleep medicine mentioned as an example of a field that overlaps with various related specialties.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
266,268,RELATED,"{order: 69, description: relates_to, metadata: {\""summary\"": \""The text discusses the role of classification systems in defining the scope of a specific discipline, with sleep medicine mentioned as an example of a field that overlaps with various related specialties.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
266,269,RELATED,"{order: 69, description: relates_to, metadata: {\""summary\"": \""The text discusses the role of classification systems in defining the scope of a specific discipline, with sleep medicine mentioned as an example of a field that overlaps with various related specialties.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
270,271,RELATED,"{order: 70, description: has_symptom or is_risk_factor_for or results_in, as per the context, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
272,271,RELATED,"{order: 70, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
273,274,RELATED,"{order: 70, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
275,276,RELATED,"{order: 70, description: results_in, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
277,278,RELATED,"{order: 71, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
279,147,RELATED,"{order: 72, description: relates_to, metadata: {\""summary\"": \""The text describes the evolution of sleep disorder classification systems over time, with a focus on the International Classification of Sleep Disorders, 2nd Edition, which is the current system used, incorporating advancements in sleep knowledge and understanding.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
280,279,RELATED,"{order: 72, description: relates_to, metadata: {\""summary\"": \""The text describes the evolution of sleep disorder classification systems over time, with a focus on the International Classification of Sleep Disorders, 2nd Edition, which is the current system used, incorporating advancements in sleep knowledge and understanding.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
281,282,RELATED,"{order: 73, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
283,284,RELATED,"{order: 73, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
281,285,RELATED,"{order: 73, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
283,285,RELATED,"{order: 73, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
285,286,RELATED,"{order: 73, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
287,285,RELATED,"{order: 73, description: has_symptom, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
272,255,RELATED,"{order: 74, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
288,289,RELATED,"{order: 75, description: relates_to, metadata: {\""summary\"": \""The text emphasizes the importance of understanding disease pathophysiologies for a succinct summary. A summary should accurately represent the main ideas or arguments of the original text, using fewer words. Adequate knowledge of the pathophysiologies of diseases or disorders within a specific discipline is necessary for creating an effective summary in this context.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
290,288,RELATED,"{order: 75, description: requires_test, metadata: {\""summary\"": \""The text emphasizes the importance of understanding disease pathophysiologies for a succinct summary. A summary should accurately represent the main ideas or arguments of the original text, using fewer words. Adequate knowledge of the pathophysiologies of diseases or disorders within a specific discipline is necessary for creating an effective summary in this context.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
291,292,RELATED,"{order: 76, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
293,291,RELATED,"{order: 76, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
294,291,RELATED,"{order: 76, description: relates_to, metadata: {\""summary\"": \""\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
